[0:00]  Buenas. Buenas noches.
[2:31:40]  gobierno interino, los mismos actores, los mismos, las mismas voces, son las mismas
[2:31:48]  increíbles.
[2:31:49]  Aquí todo el mundo sabe ese aparato de propaganda como se tine ansiaba, el
[2:31:54]  equipo de Gueló.
[2:31:56]  Pero no vamos a distrader comenzio.
[2:32:02]  Simplemente para poner en contexto que todo esto, cada día se parece más a eso a
[2:32:10]  que yo del gobierno interino, que hubes fiendos los Venezuela, estén donde
[2:32:14]  te inominportan las críticas, soy inmune al odio.
[2:32:24]  Númeral, la verdad es, que pensarán lo que el aspecto alo, porque el hereda de primera
[2:32:34]  justicia, ¿no hubo ver a la verdad es?
[2:32:39]  No sé de ello que no va a defender.
[2:32:44]  Ni tú pede, dice, ¿qué declaración tan irrelevante, intrascendente?
[2:32:48]  Pero le dedico su programa, bien gafa, ¿qué eres?
[2:32:54]  Gustavo Hernández, me uno al importante grupo de Venezuela no se condena con firmeza
[2:32:59]  la brutal campaña de satada contra capibles.
[2:33:02]  Creo que a todos nos gustaría saber quién está detrás de tan miserable operación política
[2:33:09]  y a Beledo escribe anotemén la lista profesor.
[2:33:12]  Entonces tan defendiendo a capibles de fiendos, ¿no?
[2:33:16]  O, Lando, vendáño, periodista, Venezuela no todos está orientado para que ni
[2:33:21]  con las maduros salga del poder.
[2:33:23]  No quiere decir que el despliegue a Bayer, te lisa hace para que salga del poder.
[2:33:27]  ¡Ah! ¡Ya va!
[2:33:29]  Si usted no entendieron eso, usted no han visto el máso en 15 a en 11 años que tiene.
[2:33:35]  Y me la ve que también del más.
[2:33:37]  Voy a repetir porque esto es de antología.
[2:33:39]  ¡Oh, Lando, vendáño!
[2:33:42]  Pereodito Venezuela, no.
[2:33:44]  Piéndoles escribiendo el personal.
[2:33:47]  Todo está orientado para que a Nicolás Maduros salga del poder.
[2:33:50]  Se tan alinear los planetas, mercurio retrógrafos, no sé qué va, no va a carter
[2:33:53]  actual, todo es.
[2:33:56]  No quiere decir que el despliegue, vaya a utilizarse para que salga del poder.
[2:34:01]  ¿Qué es el que no se entiende?
[2:34:04]  No, no.
[2:34:05]  Y Miguel Fontán escribe y le responde a Miguel Fontán.
[2:34:09]  Cuando el humo que vende, también te lo aspiran.
[2:34:19]  Pasa a cosas como éstas.
[2:34:23]  Bajo del argumento de a vendáño, los marico-rinistas tienen una poderosa justificación
[2:34:30]  para explicar el por qué no se cobró en 2024.
[2:34:35]  Nisezuramento en mundo el día de enero.
[2:34:38]  Entonces, lescribe para aflaciando este caballero, dice.
[2:34:41]  Aunque todo está orientado para que lo podéis irse a un cobrar en las elecciones presidenciales
[2:34:45]  de 2024, no significa que se fuera cobrar.
[2:34:49]  ¿Ah?
[2:34:51]  ¡Valiente!
[2:34:53]  Una genialidad.
[2:34:54]  Termina diciendo, señor Miguel Fontán, en verdad, es como aquello yo lo traduciría.
[2:34:40]  ¿Qué vaya, lo dice? Aunque todo está orientado para que lo podéis
[2:34:43]  son cobrar en las elecciones presidenciales de 2004, no significa que se fuera
[2:34:47]  cobrar.
[2:34:50]  ¿Veñante?
[2:34:53]  Una genialidad, terminad diciendo, señor Miguel Fontán, en verdad, es como aquello, yo
[2:34:58]  lo traduciría a purafilosofía, afurreleña, de CEO Nopreña.
[2:35:05]  ¡Ven suela!
[2:35:09]  Voy a leer una carta.
[2:35:13]  Tenía tiempo que no le hay una carta.
[2:35:20]  ¿Y si? ¿Cómo que se percieron las carta?
[2:35:24]  ¿Ey, te hay ya está?
[2:35:26]  ¿Y no estoy hablando de video aquí, miro?
[2:35:29]  No, no, tiene un poco de hoja.
[2:35:34]  No hay tiempo de 30.
[2:35:39]  3, perdón.
[2:35:43]  De espacio val, es que este programa grabado, te sabe.
[2:35:48]  A la oeste de la Casa Blanca, guazintón de Dios de Adóca Vellos, Patrio Tapí.
[2:35:54]  Jeló, maifre en Furriolena.
[2:35:59]  Jaluello, Faye, mostrasto.
[2:36:02]  Broder, se entró con Imaña, el máso.
[2:36:06]  Tenemos tiempo alertando.
[2:36:13]  Tenemos tiempo alertando para hacer exacto la última vez fue el 20 de agosto, sobre
[2:36:18]  el actitud enfermisa de Marco Rubio en su afán de convertirse en el nuevo colonizador
[2:36:23]  de América Latina.
[2:36:24]  En el dueño de las riquezas de Venezuela, en el presidente de cartón de los estadounidenses.
[2:36:30]  También hemos abertido que esa actitud podía llevar en cualquier momento a fabricar una
[2:36:35]  falsa bandera que le ayude a precipitar y justificar una agresión de Estados Unidos
[2:36:41]  en contra de nuestro país.
[2:36:43]  Por eso nadie debe de dudar en denunciar como falsa bandera, la operación del día de
[2:36:47]  ayer donde el gobierno de Donald Trump, sin haber presentado ningún tipo de pruebas contundentes,
[2:36:53]  de portabera atacado militarmente a una embarcación que supuestamente transportaba drogas
[2:37:00]  y que para variar su puestemente quieren vincularla a Venezuela.
[2:37:06]  Supuestamente.
[2:37:07]  Es lo ético, supuestamente.
[2:37:11]  Nosotros sabíamos que el falso positivo iba ocurrido en cualquier momento.
[2:37:16]  Lo que Rubio no se esperaba es que la historia la iba a quedar leiva a quedar con muchos
[2:37:21]  cabos suelto.
[2:37:22]  Dios dado, lo que hemos visto en las últimas horas es parte de un guión telérez, telé dirigido
[2:37:29]  desde el departamento de Estado.
[2:37:32]  El bodrio, porque no hay otro calificativo para llamarlo, presentado el día de ayer
[2:37:37]  a través de las redes sociales, lo vendieron como una victoria.
[2:37:41]  Cuando las realidad es que se cuento le faltan muchas patas para ser medialamente confiable.
[2:37:47]  En Washington saben que el Joe no les salió bien por el contrario que tamaño y responsabilidad
[2:37:54]  de Rubio apuesto en tela de juicio la seriedad y en funcionamiento de las instituciones
[2:37:59]  que intervienen en materia de seguridad de los Estados Unidos.
[2:38:02]  Hermano, toda esta historia ratifica cuán equivocada esta la estrategia de Marco Rubio,
[2:38:09]  quien cree que con chantaje, con mentiras y con no dio hacia nuestro pueblo puede convertirse
[2:38:15]  en presidente de los Estados Unidos.
[2:38:17]  Y me dağinten eso ustedes cuando un país como Venezuela, pequeño, euroficamente, si muchos
[2:38:25]  habitantes puede ser usado como al instrumento para tratar de llegar la presidencia de los
[2:38:30]  que ellos llaman la primera potencia del mundo, hoy no lo es, pero de los que ellos llaman
[2:38:37]  pues.
[2:38:38]  Brother, no es nuestra intención ridicalizar al gobierno estadounidense al contrario,
[2:38:43]  ha sido el mismo barco rubio junto a los congresistas que representan a la Gusanera
[2:38:48]  Cubano-Mérica, y a los carteles colombianos en Estados Unidos, es decir, los crazy Cuba,
[2:38:54]  quienes han encargado de convertir el gobierno de Trump en un meme que rueda entre
[2:38:58]  los hogares de los latinos americanos.
[2:39:01]  Antes de continuar y entran en detalles brother, te quería contar que me enteré.
[2:39:07]  ¿Eres alias tú una lágrima, ¿eh?
[2:39:14]  Me enteré que al poquito anda con los húmosubidos.
[2:39:22]  Ahora todo el que lo ve le pido en la foto.
[2:39:28]  Es decir, lo hemos convertido en el brapick Venezuela.
[2:39:35]  Pero Diosado, lo peores, ¿qué ahora?
[2:39:47]  Ya va, lo peores, ¿qué ahora?
[2:39:51]  Cocito quiere dejar nuestras clases de yoga para lanzarse a la tista.
[2:39:57]  Siendo así, yo creo que lo migo con coquito llegó a su fin.
[2:40:02]  Espera, no tienes que pensar mal.
[2:40:04]  Me refiero nuestra sociedad en el clube yoga, donde también van otros amigos en común.
[2:40:13]  Hay nomas personas, pero como yo no lo he visto, yo no lo puedo nombrar equipo.
[2:40:18]  Te dejo la prueba.
[2:40:20]  Mire, le artista, crea su uso.
[2:40:27]  Yo lo voy a, yo quiero decir lo siguiente.
[2:40:30]  Quiero decir lo siguiente, porque en estos días alguien me escribió, ¿no?
[2:40:35]  Y me decía, ¿cómo?
[2:40:36]  Pero no te metas tanto con coquito.
[2:40:38]  No hay nada de verdad, una preocupación pues.
[2:40:41]  Pero este compañero es un gran compañero.
[2:40:43]  ¿Y ustedes me meto yo más en este programa?
[2:40:53]  Conmigo mimo.
[2:40:56]  Conmigo mimo.
[2:40:58]  Conmigo mimo.
[2:41:00]  Pero este es un gran compañero.
[2:41:01]  Yo inclusive, hoy le pregunté con yo, ¿qué he visto paso esto?
[2:41:04]  De él.
[2:41:05]  No, porque, porque con yo te voy a programar tampoco para nosotros, ¿tú te ha margado?
[2:41:11]  No, no, no, no.
[2:41:14]  Entonces yo le llegó yo descubrí esto que me mandaron por ahí en tus ámbes.
[2:41:19]  ¿Qué?
[2:41:21]  Será que te hacemos promoción?
[2:41:24]  Me dio conó, claro.
[2:41:27]  Vamos, vamos a hacer una promoción.
[2:41:30]  ¿Por qué?
[2:41:31]  Va a dejar las llogas para de carcel.
[2:41:34]  ¿Canto?
[2:41:36]  ¿Quién el video ahí, ¿pues?
[2:41:38]  Dale, ¿pues?
[2:41:40]  Y tal en la m Uno de Rock,
[2:41:43]  ¿sale?
[2:41:43]  Soy de удadres 팍ils,
[2:41:46]  ¿....is verles a qué me me faldi?
[2:41:50]  Te Lee, me hegel lo gustaron,
[2:41:56]  ¡Woo!
[2:41:58]  ¿ easily?
[2:42:03]  ¿あれ?
[2:42:06]  ¡Para así, por favor!
[2:42:08]  ¡Para lo que me da!
[2:42:10]  ¡Para lo que me da!
[2:42:23]  Y en el futuro, ahora,
[2:42:25]  o que yo le voy a confesar que cuando yo vi,
[2:42:27]  la cosa yo pensé que era un remate caballo.
[2:42:30]  Sincuenta, si vueltas almelon,
[2:42:35]  si cuetas de 67, y yo iño...
[2:42:39]  ¡A ver, esté приguestado!
[2:42:41]  ¡De頌apilde! Alorstime, este por favor.
[2:42:43]  Bueno, señor, thờibralmente
[2:42:45]  pero yo IBM vis verbs a mí sono.
[2:42:46]  No pensarástenosぶrijulars?
[2:42:48]  Porque bueno, yo no fui a verse seating una vieja JUDGE...
[2:42:51]  Yo no hubo de lo que ha sido.
[2:42:53]  Ministro, extendiómiso hamb Hasuacha,
[2:42:55] isedo, caCha, cacha, cacha, cacha...
[2:42:57]  por eso porque nos metemos entre nosotros,
[2:43:00]  nos metemos por eso, quitamos entre Pán, entre Amigo,
[2:43:02]  entre Camaradas, entre Manos.
[2:43:14]  Pero a la nueva tinta y pues.
[2:43:27]  ¡Te llevan nada!
[2:43:30]  Diosado, ya pues.
[2:43:32]  Repete en ese sueño.
[2:43:35]  Repete en ese sueño.
[2:43:38]  Diosado.
[2:43:40]  Honestamente un triste espectáculo que estás en el ando preocupación en la Casa Blanca.
[2:43:44]  Resulta que el bodro y armado por el grupo de líder marco junto a sus asesores del departamento
[2:43:49]  ha estado, ha desatado una bola de críticas entre demócratas y repubblicanos.
[2:43:54]  Recuerda que la semana pasada de comente que los funcionarios que acompañaban en el nivel 1,
[2:44:00]  el presidente Trump también ha advertido que estos inventos de rubios pueden terminar
[2:44:05]  perjuicando al lo mismo Trump como ya ocurrió en el primer mandato.
[2:44:10]  Y ahorita, rubios te ha empenado en echarlas sangre a las manos de Donald Trump.
[2:44:16]  Herman, nuestra querida amiga, la charlo no te olvides de saludar la inglés, Low.
[2:44:22]  ¿Qué fue yo?
[2:44:24]  Aprovecho, aprovecho antes de irse con el hiermarco al viaje que los llevará de visita
[2:44:29]  México y Ecuador.
[2:44:31]  De enviarme los detalles de lo que está pasando.
[2:44:33]  Según la charlo, rubio decidió avanzar en ese invento de hacer esta ya era una lancha
[2:44:38]  que supuestamente.
[2:44:20]  ¿Colvides es a lo Allen Les, Low,
[2:44:23]  que fue yo?
[2:44:24]  Aprovecho, aprovecho antes de irse con el Iermar
[2:44:27]  cual viaje que los llevara de visita México y Ecuador.
[2:44:31]  De enviarme los detalles de lo que está pasando.
[2:44:33]  Según la charló, Rubio decidió avanzar en ese invento
[2:44:37]  de hacer esta llaruna lancia que supuestamente
[2:44:40]  transportaba droga supuestamente desde Venezuela.
[2:44:44]  Trasverse a correr al lado y frustrado
[2:44:46]  porque los planes generaron un quiebre
[2:44:48]  de una implosión interna del chavismo
[2:44:50]  y los militares en el solano no le han salido bien.
[2:44:54]  Sabemos que la taría de generar este rismo en el tropaís
[2:44:57]  es una taría que la encomendaron a María la chique flada machado.
[2:45:02]  Se consigieron con el muro de la fusión popular
[2:45:04]  militar policial en Venezuela.
[2:45:07]  Dice la charló, ¿qué rubió decidió no esperar más
[2:45:10]  por las acciones de esta rista de María Chique flada?
[2:45:14]  Decimos no vi, del opondo a lo pejide otro.
[2:45:17]  Por eso se vino de frente con el chau de ayer.
[2:45:20]  Pero lo he hecho, he hecho está.
[2:45:22]  La charló me confirmó en este caso,
[2:45:25]  que en este caso, el catímetro se dejo llevar por una brevenota
[2:45:28]  que informó el departamento de Estado
[2:45:30]  donde sólo se indicaban tres palabras,
[2:45:33]  ataques drogas y Venezuela.
[2:45:35]  Resulta que el catímetro cuando habló el día de ayer
[2:45:37]  ante los medios de comunicación que se encontraban en los fici
[2:45:40]  de naval ni siquiera estaba en pleno conocimiento
[2:45:42]  o lo que estaba sucediendo.
[2:45:44]  Por eso dijo a Cabado Jorrir.
[2:45:47]  Por eso su declaración sobre el caso fue impresisa.
[2:45:50]  No estuvo la altura de un presidente
[2:45:52]  y generó contradicción en los mensajes que primero firmaban
[2:45:55]  que la supuesta embarcación pertenecia
[2:45:58]  al inexistente cartel de los soles.
[2:46:01]  Y luego en su retocial decía que se trataba del estinto
[2:46:05]  30 de agua.
[2:46:06]  Yo os ha dado.
[2:46:06]  Yo estoy convencido de que tron fue estimado de forma
[2:46:09]  grosera por el líder marco.
[2:46:12]  ¿Y qué será así?
[2:46:14]  Esta vanebra que ya está generando rechazo y serio
[2:46:16]  cuestionamientos en la comunidad internacional
[2:46:19]  en cuanto a la forma y la veracidad de los hechos.
[2:46:22]  La ejecutó a Líver Marco con toda la intención
[2:46:25]  mientras se encontraba rumba la base Andrios
[2:46:28]  para dar inicio sobrebegir a por América Latina.
[2:46:31]  Me cuéntala charlo que la verdad de intención de rubio era
[2:46:34]  que trondisparar a su artillería mediática contra Venezuela.
[2:46:38]  Pues el catímetro se llama Anterino de Insilencio hasta el día de ayer.
[2:46:41]  Otro de los objetivos de rubios,
[2:46:43]  según la charló estras pasarle tron,
[2:46:45]  los costos de cualquier fracaso sobre esta operación
[2:46:48]  pues al tron hacer directamente la función
[2:46:51]  entreaban en el juego, el cual se había mantenido al margen.
[2:46:55]  La charló agrega que el líder rubio había estado muy desesperado
[2:47:00]  y desencajado en los últimos días
[2:47:02]  porque tron no había respaldado públicamente su aventura
[2:47:05]  que era lista contra nuestro país.
[2:47:07]  Broder, no es exageración cuando te digo
[2:47:10]  que el líder marco está llevando al matadero a tron.
[2:47:13]  Pues rubio busca fracturar la base maga de tron
[2:47:16]  y venderse como un nuevo al condenso del partido república.
[2:47:19]  Ahora bien, la declaración de tron alimentó todo tipo de teorías
[2:47:25]  que posteriormente le estremismo político de Miami
[2:47:28]  el de Venezuela no sabían ni saben hasta el momento
[2:47:30]  cómo arreglar el desastre de la información cruzada.
[2:47:34]  Esa corta de creación del catímetro en redolpa el papá gallo más de uno
[2:47:38]  y perjudicó la narrativa que ha intentado impulsar María la chique flada
[2:47:44]  contra el inexistente cartel de los soles.
[2:47:47]  Diosado, si no fue segrabe, te diría que no para de reírme
[2:47:51]  a leer a cada payaso vendéumo que intenta pasar por sobre el doño del circo.
[2:47:57]  Ese es el gusano de Carlos Jiménez,
[2:48:01]  el mismo congresista de Miami que tiene su cuenta de que es alquilada
[2:48:05]  para poster contra la revolución Bolivariana.
[2:48:08]  Es el mismo delincuente, fue en los primeros en asegurar en nombre
[2:48:11]  del Congreso de estadounidense, que el fullano Chow del buque destruido
[2:48:15]  del buque entre comillas pertenecía al cartel de los soles.
[2:48:19]  Tres oritos después, el mismo rubio publica el video donde se evidencia
[2:48:23]  que no se trata de un buque y para remate el catímetro
[2:48:26]  donde es miente que se trata de la inexistente cartel de los soles.
[2:48:29]  Como dijo Jiménez y dice que la supuesto operación le pertenece
[2:48:32]  al tren de aragua.
[2:48:34]  Hermanos, hemos abertido y seguimos denunciando que vender un oportunelada
[2:48:38]  es un negocio redondo del cual se lucran los seudo políticos y dirigentes
[2:48:42]  en el solado.
[2:48:43]  No podemos olvidar que ya pasó un mes desde que iniciaron la ferroja
[2:48:47]  remetida contra nuestro pueblo y no han logrado el tío haber esperado
[2:48:51]  por eso el desespero crece y deben mantener las expectativas al costo
[2:48:54]  que sea, esa es la verdadera razón de lo que sucedió ayer.
[2:48:58]  El mismo de último minuto, Broder,
[2:49:01]  tuvo que correr por los pasillos a la casa blanca para encarar a tron y preguntarle
[2:49:05]  sobre cuál es el objetivo de su política hacia Venezuela.
[2:49:08]  Durante la visita al presidente de Polonia, la guayhaws,
[2:49:12]  su respuesta dejo en un bloque al extremismo apátida.
[2:49:15]  No hablo ni de cambio de régimen y de intervención y de rocar a maduro.
[2:49:20]  El catímetro volvió a refritar su discurso de la campaña presidencial
[2:49:25]  cuando aseguró falsamente que en Venezuela
[2:49:28]  se vacieron las cárcelas instituciones de salud mental para enviar los Estados Unidos.
[2:49:33]  Nuestro amigo Brian, que trabaja acá en la guayhaws,
[2:49:36]  me dejó claro que lo dicho por tron va dirigido a la política doméstica estadounidense.
[2:49:42]  Para demostrarle al público que está atacando la criminalidad que asota este país
[2:49:46]  y que es Biden, el culpable de todas las gracias que vive Estados Unidos.
[2:49:50]  Pero que curiosamente los datos oficiales del gobierno
[2:49:54]  de muestran, que la mayoría de los delitos violentos y no violentos
[2:49:58]  son cometidos por propio ciudadanos estadounidenses
[2:50:01]  y no existen datos estadísticos que demuestran la existencia de una olad de criminalidad
[2:50:06]  causada por migrantes en Estados Unidos.
[2:50:09]  Brian me delantó que el catímetro que está miriendo con mucha cautela
[2:50:14]  sus pasos porque ya han comenzado a intuir que dentro de la administración
[2:50:18]  hay un compróp para perjudicarlo.
[2:50:21]  El video del supuesto ataque, brother, no todo lo que habría es oro,
[2:50:24]  disempley.
[2:50:25]  La laraca que armó el cicarate comunicacional de María la chica flada machado
[2:50:30]  con la difusión del video donde se vende un ataque militar a una supuesta
[2:50:33]  embarcación que supuestamente transportaba drogue y que supuestamente salió
[2:50:38]  de Venezuela.
[2:50:39]  Esa hechó en vez de ayudarlo a este momento lo que ha hecho
[2:50:42]  un dírlos más.
[2:50:45]  Te cuento que en Washington, el famoso video de la operación fey rubio
[2:50:49]  de tan solo 29 segundos ha dejado más preguntas que respuesta.
[2:50:53]  Incluso hasta en los medios de comunicación que,
[2:50:56]  históricamente han conversado el presidente Chávez Anicolás,
[2:50:59]  Maduro y la revolución Bolivariana en general como APE
[2:51:02]  y el Washington Post han puesto en tradicho la veracidad de lo que vendieron ayer.
[2:51:08]  Nuestro amigo Murfi, el patriente cooperante que nos ayudas desde LFB
[2:51:13]  me informó en confirmó que lo más grave este asunto
[2:51:17]  no es que las imágenes del video publicado por Trump y Rubio pudieran estar manipulado.
[2:51:22]  Si no que tanto Trump como Rubio están asumiendo públicamente las escinatos,
[2:51:26]  sin habéis su improteta de unas personas que hasta hoy,
[2:51:29]  se desconoce quiénes son.
[2:51:32]  ¿Y cuál era su perderas participación en todo este show?
[2:51:35]  Pues como bien dijo el presidente Colón había gustado Petro.
[2:51:38]  Los grandes capos ha más son lo que transportan la droga.
[2:51:42]  Por eso hay protocolos que se emplean en el proceso de atención
[2:51:47]  a tener que volar los impedacitos o eran necesario que no quedara evidencia
[2:51:52]  de ciertas cosas.
[2:51:53]  Preguntas de compañero.
[2:51:55]  Petro dice esto porque Petro, un poco la historia de Colón,
[2:52:01]  vía el único presidente Colón, que han enfrentado en narcotráfico con coraje.
[2:52:06]  Es el único.
[2:52:06]  Te puede tener las diferencias que tenga con el presidente Petro.
[2:52:13]  Y él sabe cuando él dice, cuando hice los grandes capos a más
[2:52:20]  o lo que transportan la droga, porque él tiene los capos,
[2:52:23]  los cuatro capos principales de la droga.
[2:52:25]  Los cuatro barones de la droga lo tiene la ya.
[2:52:29]  Morphi, me dijo que bajo ese esquema es muy difícil.
[2:52:34]  ¿Qué las autoridades puedan afirmar con tanta bebencia
[2:52:37]  que quienes viajaban en la pequeña embarcación
[2:52:39]  eran miembros del tren de agua o de cualquier otro organización criminal?
[2:52:44]  Al menos que existieron trabajo inteligencia perdiada
[2:52:47]  que también los desametidos entre Mendolio.
[2:52:49]  Pues si tenían información anticipada,
[2:52:52]  podían capturar los envés de asesinarlos.
[2:52:54]  Diosdado.
[2:52:56]  El famoso vídeo no es lo suficientemente claro.
[2:52:59]  Ni siquiera para confirmar que la embarcación transportaba a ese persona.
[2:53:03]  Morphi dice que el vídeo tampoco muestra ningún alijo de drogas visible en su interior.
[2:53:09]  Hasta ahora el pentágono ha sido muy bago en su pronunciamiento.
[2:53:13]  De ello solo publicó un comunicado genérico sobre la supuesto operación,
[2:53:17]  pero siguen incluir datos como coordenadas exactas,
[2:53:21]  el nombre era embarcación y de los tripulantes.
[2:53:23]  Tampoco se ha presentado evidencias con tus nentes
[2:53:26]  sobre la existencia a la supuesta droga.
[2:53:29]  Obvio que todo esto alimenta a la sospecha
[2:53:31]  que podíamos estar frente a un falso positivo.
[2:53:34]  Es decir, una embarcación cualquiera mal identificado
[2:53:37]  por opaganda diseñada y montada para justificar el desplega militar
[2:53:41]  que cuesta una fortuna los contribuientes estadounidenses.
[2:53:44]  En definitiva, es un terreno muy rejo al adíso y peligroso para toda la región.
[2:53:49]  Porque así como están las cosas, la administración de Trump
[2:53:53]  puede mañana a tribuirse la autoridad para donde cualquiera embarcación
[2:53:56]  que ellos quieran mi cular con narcotráfico
[2:53:58]  y solo tendríamos que conformar los con su versión de los hechos.
[2:54:02]  Sin ningún tipo de regla control sobre lo que Estados unido hace en el caribe.
[2:54:08]  Corremos al riesgo de casas sin empescadores o cualquier otro civil
[2:54:11]  que se mueva por estas aguas.
[2:54:13]  Murphy alerta incistentemente
[2:54:16]  que destruir una embarcación en el mar sin abordar la previamente de nivel eficarla.
[2:54:00]  comar los con su versión de los hechos.
[2:54:02]  Sin ningún tipo de regla control,
[2:54:05]  sobre lo que Estados Unidos hace en el caribe,
[2:54:08]  corremos al riesgo de que asesinen pescadores
[2:54:10]  o cualquier otro civil que se mueva por estas aguas.
[2:54:13]  Murfi alerta incistentemente
[2:54:16]  que destruir una embarcación en el mar sin abordar
[2:54:18]  la previamente de nivelificar a la puerta de litos
[2:54:21]  que violenta a los derechos humanos
[2:54:22]  y la paz, la convivencia y la soberanía de la región.
[2:54:28]  El plan de China pone a temblar Estados Unidos,
[2:54:30]  maífren furrialeño.
[2:54:32]  En otro tema, si hay algo que apuesto
[2:54:34]  a correr la administración estadounidense,
[2:54:36]  la reciente iniciativa de Gobernanza Global,
[2:54:38]  que ha planteado el presidente Chishmping
[2:54:41]  al cuestionar duramente el comportamiento intimidatorio
[2:54:45]  en que costantemente recurridos Estados Unidos
[2:54:47]  para someter a los pueblos del mundo.
[2:54:50]  Durante la cumbre de dos días de la cooperación de Chiangay Relez
[2:54:53]  realizada en Chiangin,
[2:54:55]  el mandatario China bogó por construir un nuevo orden
[2:54:57]  de mundial donde gobernanza debe estar encladado
[2:55:01]  en la igualdad soberana en el Estado de Re hecho Internacional
[2:55:04]  y multilateralismo.
[2:55:16]  Esos son los pilares que nuestra revolución ha defendido
[2:55:20]  históricamente y es la razón de las agresiones contra nuestro pueblo.
[2:55:24]  La propuesta que estén la mesa revolucionado a todas las defensas
[2:55:27]  de poder estadounidense,
[2:55:29]  porque de lograrse la alianza representaria el desplazamiento
[2:55:32]  de la política exterior de Estado surido.
[2:55:34]  Es por eso que anoche tronlanzo su remetida contra el presidente de China,
[2:55:37]  acusándole de conspirar contra Estados Unidos
[2:55:40]  pero en realidad lo que también es perder la poca influencia
[2:55:42]  que les queda en el mundo.
[2:55:43]  Lo cierto es que en el tablero global,
[2:55:45]  las cosas se están moviendo a un rimo que tronó
[2:55:47]  ni sus asesores esperaba.
[2:55:49]  El hecho de leer marco en México, bro,
[2:55:52]  lo que era previsible y estaba cantado desde hace varias días,
[2:55:55]  el líder marco después de haber redado al catiro de tron en Washington,
[2:55:59]  de C, llegó a México.
[2:56:01]  Con la misión de promover a un más la narrativa
[2:56:03]  al extremismo de Venezuela.
[2:56:07]  Todos vimos a un marco rubio malumorado tras ser cuestionado
[2:56:11]  por la prensa sobre la velocidad y transparencia
[2:56:14]  de la falsa bandera en aguas del caribe.
[2:56:16]  Trato es viar la atención en filándose u odio visceral
[2:56:20]  contra el presidente Maduro.
[2:56:21]  Tu amigo al ministro y otro funcionario.
[2:56:24]  Fue público en Otorio que a leer marco quedó ponchado
[2:56:27]  cuando fue cuestionado sobre cómo había hecho el gobierno
[2:56:29]  estado sonido para realmente terminar
[2:56:32]  que lo supuesto 11 terroristas de la embarcación
[2:56:35]  pertenecían efectivamente el enistente,
[2:56:37]  30-hágua.
[2:56:39]  Al leer rubio no le quedó de otra que desviar la atención
[2:56:42]  permitiendo nuevos ataques para si continuar
[2:56:44]  con su plan de la dirigido de mantener la presión mediática,
[2:56:48]  contrasta con la firmeza de la presidencia Claudia,
[2:56:51]  que hay un de defender la autoedad terminación de los pueblos.
[2:56:55]  Ahoramaz que nunca hay que llamar a nuestro pueblo a continuar
[2:57:10]  en movilización permanente porque el extremismo
[2:57:13]  derecedor no reforzará su remetida mediática
[2:57:16]  e intentará instaurar más y nuevos falsos positivos
[2:57:19]  en contra de nuestro país.
[2:57:21]  María la chicflada machado ha dado la orden de mantener la remetida
[2:57:26]  comunicacional y remotar y retomar los planes terroristas.
[2:57:31]  Pues todavía siguen deuda con el plan de incendiar el país.
[2:57:34]  Por eso los planes terroristas que ellas suben
[2:57:36]  le encobendo ahí van al reno Simonóvis
[2:57:39]  se están reconfigurando y pronto te contaré detalles.
[2:57:43]  Broder, el mundo entero en nuestro pueblo
[2:57:46]  se puede saber que el extremismo en el Solano y la mafia cubana
[2:57:49]  americana están contra el log.
[2:57:52]  Por ometieron que durante este mes de septiembre
[2:57:54]  lograrían ejecutar eventos aislados para demostrar
[2:57:56]  que tienen capacidad o operar dentro del país.
[2:57:59]  Se ha como sea, aquí estamos listos y preparados
[2:58:02]  como te dije el otro día, rondón a un no apelado.
[2:58:06]  Cuando ellos quieran nosotros queremos.
[2:58:08]  Y ellos saben que no pudieron ni podrán.
[2:58:14]  Te voy enviando a los detalles a tu sinal sobre lo que ocurrieran
[2:58:19]  la visita de leer rubio, aquí.
[2:58:22]  Me cuentan que rubio tienen agenda algunas reuniones
[2:58:24]  con grupos narcos para militares de esos que se mueven
[2:58:28]  entre Ecuador y Colombia.
[2:58:30]  Los mismos a los que la narco terrorista de la Salle
[2:58:32]  les ofreció territorio para operar en nuestro país
[2:58:35]  a cambio que la ayuda en sacar al presidente Nicolás Maduro.
[2:58:39]  La mafia al vanesa cuatoriana hará contacto con sus amos.
[2:58:43]  Estamos vigilantes y pendiente de todos.
[2:58:45]  El último dato, un último dato, si las elecciones fuese en hoy,
[2:58:50]  los república nos perderían el odio les está pasando factura.
[2:58:56]  Recuerda que soy Tomigo Finoffing,
[2:58:57]  ese importante cambio y fuera, pozata,
[2:59:01]  con un poquito.
[2:59:03]  Esto hay más cerca de ti de lo que crees.
[2:59:07]  La siguiente, no, no, un moral, la verdad es.
[2:59:15]  Todos, todos, sale.
[2:59:16]  La verdad siempre va a salir.
[2:59:19]  Toda la verdad sale siempre.
[2:59:21]  La mentira que era se pultada por la verdad.
[2:59:26]  Nosotros tenemos la moral para seguir empujando
[2:59:29]  con todos los venestulares de este país hacer un país próspero.
[2:59:33]  Yo vi un reportaje hoy de un periodista de CNN.
[2:59:38]  A lo más lo votan.
[2:59:40]  Estaba que lo que era la guayda.
[2:59:42]  Vía aquí en la guayda.
[2:59:44]  No pasa nada.
[2:59:47]  Tu país andan calma en tranquilidad,
[2:59:51]  los embajadores que están aquí saben que venerían
